Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-01-31;91.96;102.15;91.54;94.72;9175329
2021-02-28;95.5;103.25;83.36;85.02;9416803
2021-03-31;86.8;91.4;78.26;83.64;14525160
2021-04-30;83.94;93.42;83.46;86.54;9044051
2021-05-31;86.6;89.88;80.2;87.42;19134162
2021-06-30;87.58;103.35;87.58;101.95;20282059
2021-07-31;102.3;105.9;92.76;93.76;13850125
2021-08-31;93.92;98.42;88.16;93.8;11642706
2021-09-30;94.18;99;78.56;79.32;16601161
2021-10-31;78.54;82.06;73.6;81.58;13403082
2021-11-30;81.68;87.36;73.78;80.26;20785253
2021-12-31;80.12;81.12;67.28;71.14;15995005
2022-01-31;71.5;73.74;63.46;69.98;19301991
2022-02-28;70.24;71.9;52.78;59.58;19086663
2022-03-31;58.22;58.5;42.77;46;32146244
2022-04-30;46.28;51.6;35.55;37.83;21645300
2022-05-31;37.6;39.27;29.91;37.85;35803482
2022-06-30;36.8;37.58;20.94;24.96;40220461
2022-07-31;25.01;30.13;23.22;27.35;27448134
2022-08-31;27.42;33.13;22.42;23.11;29830127
2022-09-30;22.69;24.39;19.18;20.23;34538793
2022-10-31;19.865;25.78;19.425;23.33;30929688
2022-11-30;23.75;35.25;22.3;29.74;35807493
2022-12-31;30.8;36.3;30.43;33.11;19849854
2023-01-31;33.42;44.61;33.42;42.59;24081996
2023-02-28;42.65;45.81;36.88;37.6;23522430
2023-03-31;37.96;41.47;32.84;38.54;28667385
2023-04-30;38.44;39.22;35.31;37.17;11609784
2023-05-31;37.05;37.37;26.78;27.04;18199987
2023-06-30;27.48;28.11;24.02;26.36;28314301
2023-07-31;26.08;32.17;23.82;31.4;23244760
2023-08-31;31.32;32;26.27;28.73;19709406
2023-09-30;28.58;28.93;20.41;21.13;25790757
2023-10-31;21.25;23.4;19.89;21.99;30299954
2023-11-30;22.07;24.67;20.18;21.86;35205669
2023-12-31;21.83;23.48;20.27;21.45;32961840
2024-01-31;21.48;21.68;15.95;18.68;45143387
2024-02-29;18.3;20.46;18.11;19.52;26794075
2024-03-31;19.54;26.82;18.43;26.49;38778810
2024-04-30;25.45;27.65;24.23;26.92;16901560
